dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
6_hist_fig_isamerican,xgboost,74,0.8628881996477202,0.8629441624365483,0.9304689089837476,0.9424603174603176
6_hist_fig_isamerican,mlp,74,0.8911884148615926,0.8913705583756345,0.9560916676478824,0.9768518518518516
6_hist_fig_isamerican,logreg,103,0.8990984616693938,0.8991013071895425,0.9562998606305269,0.9606481481481484
6_hist_fig_isamerican,pca,103,0.897874436619824,0.8978758169934641,0.9595818515314624,0.9745370370370372
6_hist_fig_isamerican,knn,103,0.8417032154202762,0.8431372549019608,0.9377536417617156,0.9537037037037036
6_hist_fig_isamerican,xgboost,103,0.8832383358976953,0.8833741830065359,0.9456634267268998,0.9747942386831276
6_hist_fig_isamerican,mlp,103,0.8893964280546842,0.889501633986928,0.9547164351851852,0.9675925925925926
6_hist_fig_isamerican,logreg,143,0.9093775167139068,0.9093904448105437,0.9633239607109804,1.0
6_hist_fig_isamerican,pca,143,0.8691499862490281,0.8692339373970346,0.9387564493322006,1.0
6_hist_fig_isamerican,knn,143,0.8473356691768108,0.8486408566721582,0.942398998911654,1.0
6_hist_fig_isamerican,xgboost,143,0.8440429120509993,0.8441103789126854,0.9154788892085473,1.0
6_hist_fig_isamerican,mlp,143,0.9101846723572468,0.9102141680395388,0.961448192287128,0.9897435897435898
6_hist_fig_isamerican,logreg,198,0.9282885817971712,0.9283482607790045,0.9721265444953492,0.9447368421052632
6_hist_fig_isamerican,pca,198,0.8980945172544876,0.8983545094771922,0.962525163126475,0.9578947368421054
6_hist_fig_isamerican,knn,198,0.8815925132662059,0.8818996042491147,0.9503023045953076,0.9447368421052632
6_hist_fig_isamerican,xgboost,198,0.8414854085989893,0.8416996459071027,0.9156826148826878,0.9736842105263156
6_hist_fig_isamerican,mlp,198,0.9181025075756158,0.9181420537388044,0.9671086699986116,0.9447368421052632
6_hist_fig_isamerican,logreg,275,0.9258505835891834,0.9259102455546148,0.9742855586010792,0.9986225895316804
6_hist_fig_isamerican,pca,275,0.9042192121390896,0.9043183742591024,0.9642196763459832,0.9917355371900828
6_hist_fig_isamerican,knn,275,0.8930400148315168,0.8930990685859441,0.9527360780807608,0.9800275482093664
6_hist_fig_isamerican,xgboost,275,0.9012414932660332,0.901354784081287,0.959526219904342,0.997245179063361
6_hist_fig_isamerican,mlp,275,0.9161031999741678,0.916172734970364,0.9705763209610822,0.997245179063361
6_hist_fig_isamerican,logreg,382,0.9310914570465688,0.9311241065627032,0.9755083904216264,0.9978693181818182
6_hist_fig_isamerican,pca,382,0.9140126944808415,0.9140134286333116,0.9683160911301042,0.9921875
6_hist_fig_isamerican,knn,382,0.9075046381443432,0.9075157028373404,0.9588940833585404,0.9772727272727272
6_hist_fig_isamerican,xgboost,382,0.9139498494403944,0.9140134286333116,0.9656258045339876,0.9978693181818182
6_hist_fig_isamerican,mlp,382,0.9334976773302068,0.933506606021226,0.9726214503866644,0.9957386363636364
6_hist_fig_isamerican,logreg,531,0.9303800705995348,0.9303939122649956,0.9754618338384003,0.9627851140456182
6_hist_fig_isamerican,pca,531,0.923452233840447,0.923455684870188,0.9660570462671386,0.9675870348139256
6_hist_fig_isamerican,knn,531,0.9209916395721076,0.920993733213966,0.9636345675885576,0.9561824729891956
